,fmin,fmax,Nwafer (total of ~70 wafers),Detector Count,Beam in Arcseconds,Loading at Detector in pW,NEP at Detectors in aWrtHz,NEFD of a Single Detector,Mapping speed in deg^2/mJ^2/hour
0,75.0,110.0,4,3472.0,15.1351351351,3.02027433041,29.9546791393,0.19846267947,6355.59977344
1,130.0,170.0,4,9120.0,9.33333333333,3.07897662268,33.0254031801,0.19154922843,6815.05707296
2,195.0,245.0,4,19616.0,6.36363636364,4.893072631,49.09704386,0.230025475259,4725.31982989
3,245.0,310.0,8,62432.0,5.04504504505,7.78863860699,69.3178842473,0.252001619766,7875.76228275
4,335.0,365.0,10,124140.0,4.0,6.55115316729,77.7693415802,0.659805572082,1436.02395799
5,390.0,420.0,10,166220.0,3.45679012346,10.5210325149,114.952527572,1.15014209907,472.594019721
6,455.0,470.0,10,216780.0,3.02702702703,8.74851206007,125.308023994,3.50228435915,50.9695641019
7,625.0,710.0,10,451540.0,2.09737827715,62.567200018,385.176212351,2.59495436731,92.8436550332
8,845.0,900.0,10,771460.0,1.60458452722,40.7206610007,328.13535346,3.65612954077,46.7689244844
9,,,70,,,2.3400582477e-07,0.0211937868137,2066.49023068,
